Number,Description,Short description,Close notes,Full description,group_id,root_cause
INC1669380,HYBS_Order_Number,[DATA RECON][MY][ Order] Side2 not Exist - Missing in Magic,"Order process was stuck for order 10034077680 due to which pv/bv was not credited and order was not present in MAGIC.

We have now fixed the same and pv/bv is now credited successfully. caller confirmed to close the incident.",HYBS_Order_Number-[DATA RECON][MY][ Order] Side2 not Exist - Missing in Magic,3,Order Management Issues
INC1666565,",  ,  ==> orders pickup complete at POS -> Operation -> Manage order ->search by order number  but status still Ready for Pickup at POS -> order enquiry -> All order -> search by order number==> pls help to check and fix for impacted orders",Orders pickup complete but status still Ready for Pickup,"We have fixed the orders and their status is now updated as pickup complete.
We would like to mark the incident as resolved.",",  ,  ==> orders pickup complete at POS -> Operation -> Manage order ->search by order number  but status still Ready for Pickup at POS -> order enquiry -> All order -> search by order number==> pls help to check and fix for impacted orders-Orders pickup complete but status still Ready for Pickup",4,Order Management Issues
INC1648639,Customer called and stated that customer was unable to make the conversion from PC to ADSP. When customer is going to upload Aadhar Card it is showing as something went wrong. Kindly check and help.,Technology : New Entry Model : PC to ADR Conversion Query.,closing ticket as per below request.,Customer called and stated that customer was unable to make the conversion from PC to ADSP. When customer is going to upload Aadhar Card it is showing as something went wrong. Kindly check and help.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Product & Service Specific Defects
INC1674346,"INCN  [DO NOT DELETE THIS LINE]Customer called and stated that they are not able to convert their id as they are getting a pop up that Your bank details and already in used, they are facing this issue from past few days, kindly please check and resolve the issue at the earliest.",Technology : New Entry Model : PC to ADR Conversion Query.,As we checked bank number is already updated in ABO  .  Please ask user update unique bank details.,"INCN  [DO NOT DELETE THIS LINE]Customer called and stated that they are not able to convert their id as they are getting a pop up that Your bank details and already in used, they are facing this issue from past few days, kindly please check and resolve the issue at the earliest.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Miscellaneous/Uncategorized
INC1670170,In this below mentioned case PC is not able to convert himself into ADR getting an error Mobile Number you entered is already in use,Technology : New Entry Model : PC to ADR Conversion Query.,"Mobile number is validated. Please ask ABO to clear the browser cache, history and then check again. if issue persist please let us know with error screen shot.",In this below mentioned case PC is not able to convert himself into ADR getting an error Mobile Number you entered is already in use-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1681277,"PC has unable to complete the PC to ADR conversion process, Mobile number not able to verify it.  Find the error msg. Since every month 24th will be a last date for PC to ADR conversion.",Technology : New Entry Model : PC to ADR Conversion Query.,"Hi

Please be informed that the phone number has been validated.

Regards","PC has unable to complete the PC to ADR conversion process, Mobile number not able to verify it.  Find the error msg. Since every month 24th will be a last date for PC to ADR conversion.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1647808,"is trying to convert to ADSP but error showing as ""Mobile no. you entered is already in use"" Error screenshot attached/ Please check and update",Technology : New Entry Model : PC to ADR Conversion Query.,"Mobile number has been verified, kindly verify now.","is trying to convert to ADSP but error showing as ""Mobile no. you entered is already in use"" Error screenshot attached/ Please check and update-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1701225,"Dear Team, Kindly check the below PC to ADSP conversion issue and do the needful. While conversion, the PC is unable to upload the ID/Address proof document as an error appears as "" The data could not be saved due to duplicate ID proof"". Below is the screenshot for reference.",Technology : New Entry Model : PC to ADR Conversion Query.,"AADHAR details has been removed, please ask user to try now.","Dear Team, Kindly check the below PC to ADSP conversion issue and do the needful. While conversion, the PC is unable to upload the ID/Address proof document as an error appears as "" The data could not be saved due to duplicate ID proof"". Below is the screenshot for reference.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1669425,customer called and stated that they are not able to convert their account form PC to ABO since 20th of last month kindly check and help us with the same.,Technology : New Entry Model : PC to ADR Conversion Query.,As checked the user is already converted to ADR yesterday 06/11/23. please ask user to check the same and find the below screenshot.,customer called and stated that they are not able to convert their account form PC to ABO since 20th of last month kindly check and help us with the same.-Technology : New Entry Model : PC to ADR Conversion Query.,5,User Authentication & Authorization Issues
INC1697255,"Dear Team,have received complaint form PC that he wants to Become an ADS Partner and tried multiple times but unable to proceed, and showing ""Something went wrong. Please try again."" Please find attached image for the same",Technology : New Entry Model : PC to ADR Conversion Query.,As checked the user is already converted to ADR    Please ask user to verify the same.,"Dear Team,have received complaint form PC that he wants to Become an ADS Partner and tried multiple times but unable to proceed, and showing ""Something went wrong. Please try again."" Please find attached image for the same-Technology : New Entry Model : PC to ADR Conversion Query.",5,Miscellaneous/Uncategorized
INC1647496,"Customer called and stated that they are not able to do the conversion of PC to ABO as they are getting a pop up that mobile number is already exited with Amway, kindly please check and resolve the issue at the earliest.  Kindly check and do the needful. Message when i become an ads partner then my mobile number & id proof is showing alredy used. so please solve my problem. ]Error Msg Pop-up: Mobile number & ID proofs show as already exist. Requested to provide the error screenshot.",Technology : New Entry Model : PC to ADR Conversion Query.,Conversion done on ,"Customer called and stated that they are not able to do the conversion of PC to ABO as they are getting a pop up that mobile number is already exited with Amway, kindly please check and resolve the issue at the earliest.  Kindly check and do the needful. Message when i become an ads partner then my mobile number & id proof is showing alredy used. so please solve my problem. ]Error Msg Pop-up: Mobile number & ID proofs show as already exist. Requested to provide the error screenshot.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1669414,PC is trying to convert from PC to ADSP but while verifying the mobile number they are getting the error that-Mobile number you entered is already in use. Please check & do the needful.,Technology : New Entry Model : PC to ADR Conversion Query.,Mobile number has been updated please check the same.,PC is trying to convert from PC to ADSP but while verifying the mobile number they are getting the error that-Mobile number you entered is already in use. Please check & do the needful.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1699750,"PC is unable to convert itself into ADR it gets an error every time "" The data could not be saved due to duplicate ID proof (error screenshot attached for the same)",Technology : New Entry Model : PC to ADR Conversion Query.,Please ask user to now try again as adhar card has been removed .,"PC is unable to convert itself into ADR it gets an error every time "" The data could not be saved due to duplicate ID proof (error screenshot attached for the same)-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1673530,"Dear Team,is unable to convert his account to ADSP status, below error is showing. Kindly check and resolve.",Technology : New Entry Model : PC to ADR Conversion Query.,"Please try again, there might be some intermittent error.","Dear Team,is unable to convert his account to ADSP status, below error is showing. Kindly check and resolve.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1678708,"Technology : New Entry Model : ADR Unable to Sponsor PC Customer called and stated that they are unable to sponsor ADSP and PC under them, they are getting error This user is not Authorized for sponsorship, and the same guided customer to share the screenshot of error what they are getting, kindly have a check and help us on the same at the earliest.",Technology : New Entry Model : ADR Unable to Sponsor PC.,"Account Synced ,Please ask ABO to clear the browser cache, history and then check again. if issue persist please let us know with error screen shot.","Technology : New Entry Model : ADR Unable to Sponsor PC Customer called and stated that they are unable to sponsor ADSP and PC under them, they are getting error This user is not Authorized for sponsorship, and the same guided customer to share the screenshot of error what they are getting, kindly have a check and help us on the same at the earliest.-Technology : New Entry Model : ADR Unable to Sponsor PC.",5,Core Application Functionality Issues
INC1674352,while converting pc to ADSP data couldn't be saved due to duplicate id proof error is coming. Please resolve issue.,Technology : New Entry Model : PC to ADR Conversion Query.,This pan card is already present in this account  which is already ADS .,while converting pc to ADSP data couldn't be saved due to duplicate id proof error is coming. Please resolve issue.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1676526,"Dear Team,  PC is unable to convert from PC to ADSP, getting the above attached error. Please check & assist. PC- - KHAN, HABIB",Technology : New Entry Model : PC to ADR Conversion Query.,Please ask user to now try again if still error occurs feel free to raise new incident .,"Dear Team,  PC is unable to convert from PC to ADSP, getting the above attached error. Please check & assist. PC- - KHAN, HABIB-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1675224,"Technology : New Entry Model : PC to ADR Conversion Query Customer called and stated that they are unable to convert their account into ADSP, after completion of orientation video they are getting error ""Something went wrong"" kindly have a check and help us on the same at the earliest.",Technology : New Entry Model : PC to ADR Conversion Query.,"Please request user to enter the correct Aadhar number, as the entered Adhar number is not numeric.","Technology : New Entry Model : PC to ADR Conversion Query Customer called and stated that they are unable to convert their account into ADSP, after completion of orientation video they are getting error ""Something went wrong"" kindly have a check and help us on the same at the earliest.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1645240,ADR completed the profile but unable to sponsor new PC ...  Kindly check and fix the issue and confrm. ADSP # Mobile number :,Technology : New Entry Model : ADR Unable to Sponsor PC.,Required sync and it has been done now please ask user to try again now.,ADR completed the profile but unable to sponsor new PC ...  Kindly check and fix the issue and confrm. ADSP # Mobile number :-Technology : New Entry Model : ADR Unable to Sponsor PC.,5,Product & Service Specific Defects
INC1669432,not able to convert my id pc to adr.Received a request from  regarding conversion of amway ID Pc to ADR documentation process is not shown.,Technology : New Entry Model : PC to ADR Conversion Query.,"Dummy details updated, ask user now  to convert and provide the correct details now ",not able to convert my id pc to adr.Received a request from  regarding conversion of amway ID Pc to ADR documentation process is not shown.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Process & Workflow Breakdowns
INC1701224,The ADSP is unable to Sponsor PC. Please look into this.,Technology : New Entry Model : ADR Unable to Sponsor PC.,"Profile has been synced.
Please ask user to try now.",The ADSP is unable to Sponsor PC. Please look into this.-Technology : New Entry Model : ADR Unable to Sponsor PC.,5,Product & Service Specific Defects
INC1706438,"Hi Team,ADR is unable to sponsor PC , error shown as ""This user in not authorized for sponsorship"" , kindly assist . Please find below screen shot",Technology : New Entry Model : ADR Unable to Sponsor PC.,sync has been done please verify the same.,"Hi Team,ADR is unable to sponsor PC , error shown as ""This user in not authorized for sponsorship"" , kindly assist . Please find below screen shot-Technology : New Entry Model : ADR Unable to Sponsor PC.",5,Core Application Functionality Issues
INC1668855,"PC is unable to convert itself into ADR it gets an error every time "" The data could not be saved due to duplicate ID proof (error screenshot attached for the same) Kindly look into this & do the needful done.",Technology : New Entry Model : PC to ADR Conversion Query.,"Please add the correct details now, as a workaround we have added  the dummy details so that the correct details can be added ","PC is unable to convert itself into ADR it gets an error every time "" The data could not be saved due to duplicate ID proof (error screenshot attached for the same) Kindly look into this & do the needful done.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1690742,", wants to convert herself from PC to ADR , but error occurs as ""already exist as ID proof"" . Kindly delete old records of ID proof. please find attached error screen shot .Even bank details & PAN number are exist , kindly remove old records .",Technology : New Entry Model : PC to ADR Conversion Query.,Please ask user to try now PAN as well as AADHAR details has been removed from user account.,", wants to convert herself from PC to ADR , but error occurs as ""already exist as ID proof"" . Kindly delete old records of ID proof. please find attached error screen shot .Even bank details & PAN number are exist , kindly remove old records .-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1694875,"Hi Team,Unable to convert , please find the error screenshot & do the needful.",Technology : New Entry Model : PC to ADR Conversion Query.,"Phone number has been validated.
Please ask user to try now.","Hi Team,Unable to convert , please find the error screenshot & do the needful.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1645251,"Getting error after pc to adsp conversion, in which screen moving ahead automatically and below error message appearing..",Technology : New Entry Model : PC to ADR Conversion Query.,While replicating through ASM mode user is already converted to ADS And all the five flags are true.please ask user to try again if still issue occurs feel free to raise new incident.,"Getting error after pc to adsp conversion, in which screen moving ahead automatically and below error message appearing..-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1700010,PC unable to convert to ADSP. There is an error while filling up the same adhaar number. Kindly see to it.,Technology : New Entry Model : PC to ADR Conversion Query.,"AADHAR details has been deleted please ask user to try now.
If issue still persists feel free to raise anew ticket with error screenshot.",PC unable to convert to ADSP. There is an error while filling up the same adhaar number. Kindly see to it.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1673528,Customer is trying for conversion But not able to do pc to adr conversion .Please resolve as soon as possible. Error attached.,Technology : New Entry Model : PC to ADR Conversion Query.,"Dummy data added, please ask user to add the correct documents while conversion.",Customer is trying for conversion But not able to do pc to adr conversion .Please resolve as soon as possible. Error attached.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1700797,"Dear Team, The problem remains unresolved, and the customer is still experiencing issues. Please review and take necessary action to address this matter.",Technology : New Entry Model : PC to ADR Conversion Query.,"Aadhar details has been removed, kindly ask user to verify.","Dear Team, The problem remains unresolved, and the customer is still experiencing issues. Please review and take necessary action to address this matter.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Miscellaneous/Uncategorized
INC1655457,Technology : New Entry Model : PC to ADR Conversion Query,Technology : New Entry Model : PC to ADR Conversion Query.,Mobile number has been validated please check .,Technology : New Entry Model : PC to ADR Conversion Query-Technology : New Entry Model : PC to ADR Conversion Query.,5,Miscellaneous/Uncategorized
INC1647487,"At the time of conversion all documents showing "" THE DATA COULD NOT BE SAVED DUE TO DUPLICATE ID PROOF"".  Please find the attachment of error screenshot for your kind reference.",Technology : New Entry Model : PC to ADR Conversion Query.,Please ask user to now try again the Tax I'd and personal I'd removed.,"At the time of conversion all documents showing "" THE DATA COULD NOT BE SAVED DUE TO DUPLICATE ID PROOF"".  Please find the attachment of error screenshot for your kind reference.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1669428,Unable to verify mobile number during conversion from PC to ADSP- error shows already in use.,Technology : New Entry Model : PC to ADR Conversion Query.,"Mobile number has been verified, please ask user to try now.",Unable to verify mobile number during conversion from PC to ADSP- error shows already in use.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1658162,Hi Team The s trying to convert from PC to ADSP and the error is appearing as below.  Kindly check and rectify the same.,Technology : New Entry Model : PC to ADR Conversion Query.,Please ask user to try again as PAN details has been removed. if issue persist please let us know with error screen shot.,Hi Team The s trying to convert from PC to ADSP and the error is appearing as below.  Kindly check and rectify the same.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1645226,ADR #  is unable to sponsor pc ADR completed profile after new joining but showing errorplease find attached screen shots.,Technology : New Entry Model : ADR Unable to Sponsor PC.,"Account Synced,Please find the attached screen shot.
Please ask ABO to clear the browser cache, history and then check again. if issue persist please let us know with error screenshot",ADR #  is unable to sponsor pc ADR completed profile after new joining but showing errorplease find attached screen shots.-Technology : New Entry Model : ADR Unable to Sponsor PC.,5,Core Application Functionality Issues
INC1654567,The error is coming while verify the sponsor number during the new PC registration.,Technology : New Entry Model : ADR Unable to Sponsor PC.,Please ask user to try now profile has been synced.,The error is coming while verify the sponsor number during the new PC registration.-Technology : New Entry Model : ADR Unable to Sponsor PC.,5,Core Application Functionality Issues
INC1644345,ADS  Yemula Prasad joined on -- he is unable to join a PC. Please check the attached Screenshot. Solve this as early as possible.,Technology : New Entry Model : ADR Unable to Sponsor PC.,"Account Synced ,Please ask ABO to clear the browser cache, history and then check again. if issue persist please let us know with error screen shot.",ADS  Yemula Prasad joined on -- he is unable to join a PC. Please check the attached Screenshot. Solve this as early as possible.-Technology : New Entry Model : ADR Unable to Sponsor PC.,5,Core Application Functionality Issues
INC1645236,ADR is not able to sponsor PCIt shows this message.,Technology : New Entry Model : ADR Unable to Sponsor PC.,required sync and Please ask user to now try again as sync has been done .,ADR is not able to sponsor PCIt shows this message.-Technology : New Entry Model : ADR Unable to Sponsor PC.,5,Data Integrity & Synchronization Errors
INC1701780,"customer not able to sponsor PC and getting error as THIS USER IS NOT AUTHORIZED FOR SPONSORSHIP, kindly have a check and help us with the resolution at earliest.",Technology : New Entry Model : ADR Unable to Sponsor PC.,"Profile has been synced, please ask suer to try now.","customer not able to sponsor PC and getting error as THIS USER IS NOT AUTHORIZED FOR SPONSORSHIP, kindly have a check and help us with the resolution at earliest.-Technology : New Entry Model : ADR Unable to Sponsor PC.",5,Core Application Functionality Issues
INC1676706,"Customer called and stated that they are unable to sponsor PC under their as they are getting Error ""Amway Direct Selling Partner number you entered is incorrect. Please enter a different number to continue"", and the status also it is showing as PC while they are checking in their profile section, kindly have a check and help us on the same at the earliest.",Technology : New Entry Model : ADR Unable to Sponsor PC.,profile has been synced please ask user to try now.,"Customer called and stated that they are unable to sponsor PC under their as they are getting Error ""Amway Direct Selling Partner number you entered is incorrect. Please enter a different number to continue"", and the status also it is showing as PC while they are checking in their profile section, kindly have a check and help us on the same at the earliest.-Technology : New Entry Model : ADR Unable to Sponsor PC.",5,Core Application Functionality Issues
INC1653456,"Dear Team, Kindly check and rectify the below PC-ADSP conversion issue.  PC is trying to convert himself to ADSP but an error is appearing as ""Something went wrong"", after entering the ID proof number.   Email ID: watts.sarina@gmail.com",Technology : New Entry Model : PC to ADR Conversion Query.,As checked the user has converted to adr .,"Dear Team, Kindly check and rectify the below PC-ADSP conversion issue.  PC is trying to convert himself to ADSP but an error is appearing as ""Something went wrong"", after entering the ID proof number.   Email ID: watts.sarina@gmail.com-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1655290,PC is trying to convert to ADSP but there is an issue after the Orientation program The issue persists as Something went wrong attached SS  Please assist with the same PC -,Technology : New Entry Model : PC to ADR Conversion Query.,Please try again in incognito mode and if error comes again then let us know we will initiate the conversion from backend.,PC is trying to convert to ADSP but there is an issue after the Orientation program The issue persists as Something went wrong attached SS  Please assist with the same PC --Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1694885,PC unable to verify phone number while converting to ADSP. There is an error shown. Please look into this.,Technology : New Entry Model : PC to ADR Conversion Query.,"Phone number has been validated for the user, kindly try now.",PC unable to verify phone number while converting to ADSP. There is an error shown. Please look into this.-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1681826,"customer called and stated that, they have completed the orientation video more than twice but whenever they login they are getting the pop up as to complete the orientation video. customer has tried to login with different device and different phone also, but they are facing the same issue. Also, when they login as ADSP, in their website it is showing as PC. when they sponsor any PC under them, they are getting the error as you are not authorized for sponsorship. (they are facing these issues from past  days). kindly please check and help as soon as possible.",Technology : New Entry Model : ADR Unable to Sponsor PC.,"Account Synced, Please find the attached screen shot.
Please ask ABO to clear the browser cache, history and then check again. if issue persist please let us know with error screenshot.
","customer called and stated that, they have completed the orientation video more than twice but whenever they login they are getting the pop up as to complete the orientation video. customer has tried to login with different device and different phone also, but they are facing the same issue. Also, when they login as ADSP, in their website it is showing as PC. when they sponsor any PC under them, they are getting the error as you are not authorized for sponsorship. (they are facing these issues from past  days). kindly please check and help as soon as possible.-Technology : New Entry Model : ADR Unable to Sponsor PC.",5,Core Application Functionality Issues
INC1698978,"ABO is unable to verify email. There is an error message saying ""email you entered is already in use"" Kindly look into this.",Technology : New Entry Model : PC to ADR Conversion Query.,Email address is validated now.,"ABO is unable to verify email. There is an error message saying ""email you entered is already in use"" Kindly look into this.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1681278,"upline called and stated that while converting their customer account from PC to ADS they are getting the error as this mobile number already exists and they are not able to do the conversion process, kindly check and help out with the resolution as the earliest.",Technology : New Entry Model : PC to ADR Conversion Query.,closing as per below comment .,"upline called and stated that while converting their customer account from PC to ADS they are getting the error as this mobile number already exists and they are not able to do the conversion process, kindly check and help out with the resolution as the earliest.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1652325,"In the below-mentioned case, the ADS is unable to convert itself to an ADR and is getting a Verification Pending error every time, whereas he has tried mobile number verification several times.",Technology : New Entry Model : PC to ADR Conversion Query.,"Email and phone number validated.  Please ask ABO to clear the browser cache, history and then check again. if issue persist please let us know with error screen shot.","In the below-mentioned case, the ADS is unable to convert itself to an ADR and is getting a Verification Pending error every time, whereas he has tried mobile number verification several times.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1675168,"customer called and stated that while converting the account from PC to ADS they are facing the error due to which they are unable to complete the process and also while trying to login the account they are getting the error, kindly check and help out the same.",Technology : New Entry Model : PC to ADR Conversion Query.,"As per last comment, closing the incident.","customer called and stated that while converting the account from PC to ADS they are facing the error due to which they are unable to complete the process and also while trying to login the account they are getting the error, kindly check and help out the same.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1695135,"Hi Team, While processing PC to ADR, an error message appears at the final step. I've attached a screenshot for your reference. Despite multiple attempts, the PC consistently receive the same error message: ""Something went wrong. Please try again.""It is coming to the same page even after completing the orientation program.",Technology : New Entry Model : PC to ADR Conversion Query.,"User has been successfully converted to ADS.
PFA screenshot for your reference.","Hi Team, While processing PC to ADR, an error message appears at the final step. I've attached a screenshot for your reference. Despite multiple attempts, the PC consistently receive the same error message: ""Something went wrong. Please try again.""It is coming to the same page even after completing the orientation program.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
INC1676646,PC is not able to convert himself into ADR getting an error The data could not be saved due to duplicate Address proof,Technology : New Entry Model : PC to ADR Conversion Query.,Please ask user to try now AADHAR details has been removed now.,PC is not able to convert himself into ADR getting an error The data could not be saved due to duplicate Address proof-Technology : New Entry Model : PC to ADR Conversion Query.,5,Core Application Functionality Issues
INC1690647,"Hi Team, The PC is unable to convert from PC to ADSP. The error appears below.",Technology : New Entry Model : PC to ADR Conversion Query.,"User has been successfully converted to ADS, kindly verify.","Hi Team, The PC is unable to convert from PC to ADSP. The error appears below.-Technology : New Entry Model : PC to ADR Conversion Query.",5,Core Application Functionality Issues
